"Date_situ","lat","lon","rrs412_V5_old","rrs443_V5_old","rrs490_V5_old","rrs510_V5_old","rrs560_V5_old","rrs665_V5_old","rrs412_V6_old","rrs443_V6_old","rrs490_V6_old","rrs510_V6_old","rrs560_V6_old","rrs665_V6_old","rrs412_V5_new","rrs443_V5_new","rrs490_V5_new","rrs510_V5_new","rrs560_V5_new","rrs665_V5_new","rrs412_V6_new","rrs443_V6_new","rrs490_V6_new","rrs510_V6_new","rrs560_V6_new","rrs665_V6_new"
19980804,74.631,-95.074,0.005197972,0.005448684,0.005190341,0.004619115,0.00341052,0.000656776,0.00485177,0.004993472,0.004751682,0.004300633,0.003243428,0.000638125,0.00519797159358859,0.00544868409633636,0.00519034126773477,0.00461911549791694,0.00341051979921758,0.00065677595557645,0.00485176965594292,0.00499347224831581,0.00475168181583285,0.00430063297972083,0.00324342842213809,0.000638125115074217
19980830,69.62,50.57,0.003270604,0.00293831,0.002686628,0.002281479,0.001320002,0.000145472,0.0030048,0.002746969,0.002491882,0.002171038,0.001283371,0.000145721,0.00327060394920409,0.00293831038288772,0.00268662837333977,0.00228147860616446,0.0013200017856434,0.000145472295116633,0.0030048000626266,0.00274696899577975,0.00249188207089901,0.00217103795148432,0.00128337065689266,0.000145721089211293
20000518,69.3367,7.8508,0.001046755,0.001449052,0.001642142,0.001564569,0.001047075,0.00013668,0.001011359,0.001413152,0.001573606,0.001525535,0.001033396,0.000135583,0.00104675511829555,0.00144905247725546,0.00164214218966663,0.00156456872355193,0.00104707467835397,0.000136679518618621,0.00101135880686343,0.00141315185464919,0.00157360581215471,0.00152553454972804,0.00103339576162398,0.000135583119117655
20020605,69.6795,10.2048,0.004003623,0.003737346,0.004016306,0.00372364,0.002835082,0.000412283,0.003868756,0.003650041,0.003888976,0.003658244,0.002785021,0.000417431,0.00400362303480506,0.00373734626919031,0.00401630625128746,0.00372363952919841,0.00283508165739477,0.000412283086916432,0.00386875588446856,0.00365004129707813,0.00388897559605539,0.0036582441534847,0.00278502143919468,0.000417430652305484
20031003,70.6625,19.9792,0.001357679,0.001039328,0.001483313,0.001491055,0.001148392,0.000210092,0.001273806,0.001049187,0.001144971,0.001272886,0.000889367,0.00013957,0.00135767902247608,0.00103932770434767,0.00148331269156188,0.00149105512537062,0.00114839209709316,0.000210091573535465,0.001273806206882,0.00104918656870723,0.00114497053436935,0.0012728861765936,0.000889367191120982,0.000139569645398296
20040402,68.9493,13.4838,0.006475216,0.006321387,0.005415083,0.003913929,0.001823167,0.000155483,0.006131966,0.0059945,0.005099581,0.003796173,0.001803197,0.000164391,0.00647521624341607,0.00632138689979911,0.0054150833748281,0.00391392922028899,0.00182316696736962,0.000155482630361803,0.00613196566700935,0.00599450012668967,0.00509958108887076,0.00379617349244654,0.00180319650098681,0.000164390876307152
20050825,71.2737,32.3868,0.005654001,0.005865835,0.006465932,0.006019292,0.004731241,0.000686983,0.006339663,0.006591219,0.007078146,0.006685878,0.005329893,0.000852829,0.00565400067716837,0.00586583511903882,0.00646593188866973,0.00601929193362594,0.00473124114796519,0.000686983170453459,0.00633966270834208,0.00659121945500374,0.00707814563065767,0.00668587815016508,0.00532989297062159,0.000852828787174076
20060405,67.2063,10.4937,0.000945738,0.001008902,0.001283048,0.001666902,0.002076546,0.000846311,0.000855655,0.000939584,0.001137774,0.001568029,0.0019208,0.000836024,0.000945737876463681,0.00100890244357288,0.00128304807003587,0.00166690209880471,0.00207654573023319,0.000846311217173934,0.000855655176565051,0.000939583871513605,0.00113777432125062,0.00156802870333195,0.00192080019041896,0.000836024468299001
20080709,71.0672,-166.0845,0.004271264,0.004304223,0.003771681,0.003306642,0.002079144,0.000230682,0.003934562,0.004061309,0.003593205,0.003233293,0.002105951,0.000238051,0.00427126418799162,0.00430422276258469,0.00377168064005673,0.00330664240755141,0.00207914435304701,0.00023068166046869,0.00393456174060702,0.00406130868941545,0.0035932045429945,0.00323329330421984,0.00210595084354281,0.000238050910411403
20080717,71.7518,31.2322,0.007863615,0.006906568,0.006599418,0.005268253,0.002753276,0.000384598,-999,-999,-999,-999,-999,-999,0.0078636147081852,0.00690656760707498,0.00659941835328937,0.00526825338602066,0.00275327614508569,0.000384598301025108,NA,NA,NA,NA,NA,NA
